Entity,Code,Year,Total number of emigrants
Turks and Caicos Islands,TCA,2000,740
Turks and Caicos Islands,TCA,2005,1190
Turks and Caicos Islands,TCA,2010,2197
Turks and Caicos Islands,TCA,2015,2454
Turks and Caicos Islands,TCA,2020,2689
Tuvalu,TUV,1990,2350
Tuvalu,TUV,1995,2738
Tuvalu,TUV,2000,2611
Tuvalu,TUV,2005,2917
Tuvalu,TUV,2010,3011
Tuvalu,TUV,2015,3203
Tuvalu,TUV,2020,3670
Uganda,UGA,1990,311591
Uganda,UGA,1995,361969
Uganda,UGA,2000,517776
Uganda,UGA,2005,586602
Uganda,UGA,2010,731768
Uganda,UGA,2015,786229
Uganda,UGA,2020,781440
Ukraine,UKR,1990,5545517
Ukraine,UKR,1995,5606133
Ukraine,UKR,2000,5596518
Ukraine,UKR,2005,5566382
Ukraine,UKR,2010,5429876
Ukraine,UKR,2015,5797550
Ukraine,UKR,2020,6139144
United Arab Emirates,ARE,1990,79499
United Arab Emirates,ARE,1995,97928
United Arab Emirates,ARE,2000,111082
United Arab Emirates,ARE,2005,125618
United Arab Emirates,ARE,2010,155609
United Arab Emirates,ARE,2015,178324
United Arab Emirates,ARE,2020,203214
United Kingdom,GBR,1990,3789316
United Kingdom,GBR,1995,3708650
United Kingdom,GBR,2000,3860006
United Kingdom,GBR,2005,4145206
United Kingdom,GBR,2010,4432928
United Kingdom,GBR,2015,4379366
United Kingdom,GBR,2020,4732510
United States,USA,1990,1726213
United States,USA,1995,1827431
United States,USA,2000,1979327
United States,USA,2005,2296999
United States,USA,2010,2670652
United States,USA,2015,2717761
United States,USA,2020,2996223
United States Virgin Islands,VIR,1990,2309
United States Virgin Islands,VIR,1995,3030
United States Virgin Islands,VIR,2000,3814
United States Virgin Islands,VIR,2005,3638
United States Virgin Islands,VIR,2010,3711
United States Virgin Islands,VIR,2015,3953
United States Virgin Islands,VIR,2020,3908
Upper-middle-income countries,,1990,46251718
Upper-middle-income countries,,1995,53059271
Upper-middle-income countries,,2000,59585818
Upper-middle-income countries,,2005,65735241
Upper-middle-income countries,,2010,74175415
Upper-middle-income countries,,2015,77576140
Upper-middle-income countries,,2020,87648518
Uruguay,URY,1990,237486
Uruguay,URY,1995,233993
Uruguay,URY,2000,235641
Uruguay,URY,2005,298986
Uruguay,URY,2010,338438
Uruguay,URY,2015,353225
Uruguay,URY,2020,367060
Uzbekistan,UZB,1990,1427980
Uzbekistan,UZB,1995,1515731
Uzbekistan,UZB,2000,1575965
Uzbekistan,UZB,2005,1730224
Uzbekistan,UZB,2010,1888942
Uzbekistan,UZB,2015,1976024
Uzbekistan,UZB,2020,2027823
Vanuatu,VUT,1990,4869
Vanuatu,VUT,1995,5611
Vanuatu,VUT,2000,6242
Vanuatu,VUT,2005,7264
Vanuatu,VUT,2010,7692
Vanuatu,VUT,2015,6751
Vanuatu,VUT,2020,7246
Vatican,VAT,1990,10
Vatican,VAT,1995,26
Vatican,VAT,2000,41
Vatican,VAT,2005,110
Vatican,VAT,2010,175
Vatican,VAT,2015,310
Vatican,VAT,2020,174
Venezuela,VEN,1990,185492
Venezuela,VEN,1995,241864
Venezuela,VEN,2000,317753
Venezuela,VEN,2005,437087
Venezuela,VEN,2010,560528
Venezuela,VEN,2015,709140
Venezuela,VEN,2020,5415337
Vietnam,VNM,1990,1505588
Vietnam,VNM,1995,1842320
Vietnam,VNM,2000,2158532
Vietnam,VNM,2005,2376225
Vietnam,VNM,2010,2630742
Vietnam,VNM,2015,2909491
Vietnam,VNM,2020,3392025
Wallis and Futuna,WLF,1990,6484
Wallis and Futuna,WLF,1995,6943
Wallis and Futuna,WLF,2000,7401
Wallis and Futuna,WLF,2005,7436
Wallis and Futuna,WLF,2010,7465
Wallis and Futuna,WLF,2015,11227
Wallis and Futuna,WLF,2020,11917
Western Africa,,1990,5051069
Western Africa,,1995,6292141
Western Africa,,2000,6386350
Western Africa,,2005,7451068
Western Africa,,2010,8211176
Western Africa,,2015,9425980
Western Africa,,2020,10558152
Western Asia,,1990,11078561
Western Asia,,1995,12217016
Western Asia,,2000,12995065
Western Asia,,2005,13901370
Western Asia,,2010,16062583
Western Asia,,2015,21691299
Western Asia,,2020,25281195
Western Europe,,1990,6100528
Western Europe,,1995,6375212
Western Europe,,2000,6833240
Western Europe,,2005,7466886
Western Europe,,2010,8226254
Western Europe,,2015,8394738
Western Europe,,2020,9177420
Western Sahara,ESH,1990,168238
Western Sahara,ESH,1995,167146
Western Sahara,ESH,2000,166060
Western Sahara,ESH,2005,131288
Western Sahara,ESH,2010,170195
Western Sahara,ESH,2015,185885
Western Sahara,ESH,2020,194932
World,OWID_WRL,1990,152986157
World,OWID_WRL,1995,161289976
World,OWID_WRL,2000,173230585
World,OWID_WRL,2005,191446828
World,OWID_WRL,2010,220983187
World,OWID_WRL,2015,247958644
World,OWID_WRL,2020,280598105
Yemen,YEM,1990,455492
Yemen,YEM,1995,486249
Yemen,YEM,2000,529396
Yemen,YEM,2005,628869
Yemen,YEM,2010,876383
Yemen,YEM,2015,1095240
Yemen,YEM,2020,1301166
Zambia,ZMB,1990,85201
Zambia,ZMB,1995,140895
Zambia,ZMB,2000,160201
Zambia,ZMB,2005,181499
Zambia,ZMB,2010,182766
Zambia,ZMB,2015,184371
Zambia,ZMB,2020,200700
Zimbabwe,ZWE,1990,204363
Zimbabwe,ZWE,1995,287995
Zimbabwe,ZWE,2000,351985
Zimbabwe,ZWE,2005,500773
Zimbabwe,ZWE,2010,754643
Zimbabwe,ZWE,2015,1167064
Zimbabwe,ZWE,2020,1243314
